"","Transect_id","year","Full_name","Analysis type","Status","Growth_form","Code","RevBI","FS_BAND","TRT","Plant","Transect_cm","Origin","Total_cm","Basal_cm","Canopy_cm","PctC"
"21","1has1",1997,"Lithospermum multiflorum","entire","live","F","limu","High","FS","Seeded","y",5000,"native",38,0,38,1
"22","1has1",1997,"Cirsium neomexicanum","entire","dead","F","cine","High","FS","Seeded","y",5000,"native",1,0,1,0
"23","1has1",1997,"Dysphania graveolens","entire","live","F","dygr","High","FS","Seeded","y",5000,"exotic",14,0,14,0
"24","1has1",1997,"Ceanothus fendleri","entire","live","U","cefe","High","FS","Seeded","y",5000,"native",21,0,21,0
"25","1has1",1997,"Robinia neomexicana","entire","live","S","rone","High","FS","Seeded","y",5000,"native",11,0,11,0
"26","1has1",1997,"Conyza schiedeana","entire","live","F","cosc","High","FS","Seeded","y",5000,"native",12,0,12,0
"27","1has1",1997,"Muhlenbergia wolfii","entire","live","G","muwo","High","FS","Seeded","y",5000,"native",1,0,1,0
"28","1has1",1997,"Chenopodium album","entire","live","F","chal","High","FS","Seeded","y",5000,"exotic",18,0,18,0
"29","1has1",1998,"Gravel","entire","live","B","grav","High","FS","Seeded","n",5000,NA,3446,3446,0,0
"30","1has1",1998,"Litter","entire","live","L","litt","High","FS","Seeded","n",5000,NA,936,936,0,0
"31","1has1",1998,"Bare","entire","live","B","bare","High","FS","Seeded","n",5000,NA,354,354,0,0
"32","1has1",1998,"Bromus carinatus","entire","live","G","brca2","High","FS","Seeded","y",5000,"native",460,58,402,8
"33","1has1",1998,"Carex sp.","entire","live","G","care","High","FS","Seeded","y",5000,"native",400,44,356,7
"34","1has1",1998,"Wood","entire","live","L","wood","High","FS","Seeded","n",5000,NA,70,36,34,1
"35","1has1",1998,"Pinus ponderosa","entire","dead","T","pipo","High","FS","Seeded","y",5000,"native",24,24,0,0
"36","1has1",1998,"Bromus inermis","entire","live","G","brin","High","FS","Seeded","y",5000,"exotic",176,23,153,3
"37","1has1",1998,"Elymus trachycaulum","entire","live","G","eltr","High","FS","Seeded","y",5000,"native",133,19,114,2
"38","1has1",1998,"Rock","entire","live","B","rock","High","FS","Seeded","n",5000,NA,19,19,0,0
"39","1has1",1998,"Muhlenbergia montana","entire","live","G","mumo","High","FS","Seeded","y",5000,"native",33,9,24,0
"40","1has1",1998,"Root","entire","live","T","root","High","FS","Seeded","n",5000,NA,6,6,0,0
"41","1has1",1998,"Unidentified grass","entire","live","G","gras","High","FS","Seeded","y",5000,NA,23,6,17,0
"42","1has1",1998,"Lolium multiflorum","entire","live","G","lomu","High","FS","Seeded","y",5000,"exotic",83,5,78,2
"43","1has1",1998,"Oenothera hookeri","entire","live","F","oeho","High","FS","Seeded","y",5000,"native",49,4,45,1
"44","1has1",1998,"Ceanothus fendleri","entire","live","U","cefe","High","FS","Seeded","y",5000,"native",105,4,101,2
"45","1has1",1998,"Dysphania graveolens","entire","live","F","dygr","High","FS","Seeded","y",5000,"exotic",47,3,44,1
"46","1has1",1998,"Animal feces","entire","live","L","shit","High","FS","Seeded","n",5000,NA,2,2,0,0
"47","1has1",1998,"Lolium multiflorum","entire","dead","G","lomu","High","FS","Seeded","y",5000,"exotic",35,2,33,1
"48","1has1",1998,"Chenopodium fremontii","entire","live","F","chfr","High","FS","Seeded","y",5000,"native",67,0,67,1
"49","1has1",1998,"Bromus carinatus","entire","dead","G","brca2","High","FS","Seeded","y",5000,"native",13,0,13,0
"50","1has1",1998,"Geranium caespitosum","entire","live","F","geca","High","FS","Seeded","y",5000,"native",22,0,22,0
"51","1has1",1998,"Brickellia californica","entire","live","U","brca","High","FS","Seeded","y",5000,"native",1,0,1,0
"52","1has1",1998,"Quercus gambellii","entire","live","S","quga","High","FS","Seeded","y",5000,"native",267,0,267,5
"53","1has1",1998,"Lithospermum multiflorum","entire","live","F","limu","High","FS","Seeded","y",5000,"native",39,0,39,1
"54","1has1",1998,"Cirsium neomexicanum","entire","dead","F","cine","High","FS","Seeded","y",5000,"native",4,0,4,0
"55","1has1",1998,"Conyza canadensis","entire","live","F","coca","High","FS","Seeded","y",5000,"native",2,0,2,0
"56","1has1",1998,"Lactuca serriola","entire","live","F","lase","High","FS","Seeded","y",5000,"exotic",1,0,1,0
"57","1has1",1998,"Verbascum thapsus","entire","live","F","veth","High","FS","Seeded","y",5000,"exotic",6,0,6,0
"58","1has1",1998,"Robinia neomexicana","entire","live","S","rone","High","FS","Seeded","y",5000,"native",110,0,110,2
"59","1has1",1998,"Ipomopsis aggregata","entire","live","F","ipag","High","FS","Seeded","y",5000,"native",1,0,1,0
"60","1has1",1998,"Cirsium neomexicanum","entire","live","F","cine","High","FS","Seeded","y",5000,"native",18,0,18,0
"61","1has1",2008,"Litter","entire","live","L","litt","High","FS","Seeded","n",5010,NA,2265,2265,0,0
"62","1has1",2008,"Bare","entire","live","B","bare","High","FS","Seeded","n",5010,NA,1676,1676,0,0
"63","1has1",2008,"Wood","entire","live","L","wood","High","FS","Seeded","n",5010,NA,816,662,154,3
"64","1has1",2008,"Muhlenbergia montana","entire","live","G","mumo","High","FS","Seeded","y",5010,"native",1012,147,865,17
"65","1has1",2008,"Pinus ponderosa","entire","dead","T","pipo","High","FS","Seeded","y",5010,"native",90,90,0,0
"66","1has1",2008,"Carex sp.","entire","live","G","care","High","FS","Seeded","y",5010,"native",368,56,312,6
"67","1has1",2008,"Bromus inermis","entire","live","G","brin","High","FS","Seeded","y",5010,"exotic",981,49,932,19
"68","1has1",2008,"Blepharoneuron tricholepis","entire","live","L","bltr","High","FS","Seeded","y",5010,"native",158,40,118,2
"69","1has1",2008,"Bouteloua curtipendula","entire","live","G","bocu","High","FS","Seeded","y",5010,"native",93,10,83,2
"70","1has1",2008,"Cirsium neomexicanum","entire","live","F","cine","High","FS","Seeded","y",5010,"native",23,6,17,0
"71","1has1",2008,"Unidentified grass","entire","live","G","gras","High","FS","Seeded","y",5010,NA,57,5,52,1
"72","1has1",2008,"Unidentified grass","entire","dead","G","gras","High","FS","Seeded","y",5010,NA,8,2,6,0
"73","1has1",2008,"Geranium caespitosum","entire","live","F","geca","High","FS","Seeded","y",5010,"native",25,2,23,0
"74","1has1",2008,"Ceanothus fendleri","entire","live","U","cefe","High","FS","Seeded","y",5010,"native",487,0,487,10
"75","1has1",2008,"Robinia neomexicana","entire","live","S","rone","High","FS","Seeded","y",5010,"native",27,0,27,1
"76","1has1",2008,"Quercus gambellii","entire","live","S","quga","High","FS","Seeded","y",5010,"native",438,0,438,9
"77","1has1",2008,"Hieracium fendleri","entire","live","F","hife","High","FS","Seeded","y",5010,"native",13,0,13,0
"78","1has1",2008,"Unidentified forb","entire","dead","F","forb","High","FS","Seeded","y",5010,NA,3,0,3,0
"79","1has1",2008,"Ipomopsis aggregata","entire","live","F","ipag","High","FS","Seeded","y",5010,"native",39,0,39,1
"80","1has1",2008,"Ipomopsis aggregata","entire","dead","F","ipag","High","FS","Seeded","y",5010,"native",52,0,52,1
"81","1has1",2008,"Elymus elymoides","entire","live","G","elel","High","FS","Seeded","y",5010,"native",46,0,46,1
"82","1has1",2008,"Mentzelia laciniata","entire","live","F","mela","High","FS","Seeded","y",5010,"native",3,0,3,0
"83","1has1",2008,"Ceanothus fendleri","entire","dead","U","cefe","High","FS","Seeded","y",5010,"native",84,0,84,2
"84","1has1",2008,"Amauriopsis dissecta","entire","live","F","amdi","High","FS","Seeded","y",5010,"native",5,0,5,0
"85","1has1",2008,"Artemisia ludoviciana","entire","live","F","arlu","High","FS","Seeded","y",5010,"native",8,0,8,0
"86","1has1",2008,"Oenothera hookeri","entire","live","F","oeho","High","FS","Seeded","y",5010,"native",9,0,9,0
"87","1has1",2013,"Bare","entire","live","F","bare","High","FS","Seeded","n",5016,NA,2251,2251,0,0
"88","1has1",2013,"Pumice soil","entire","live","B","pumc","High","FS","Seeded","n",5016,NA,1899,1899,0,0
"89","1has1",2013,"Litter","entire","live","L","litt","High","FS","Seeded","n",5016,NA,731,643,88,2
"90","1has1",2013,"Bromus inermis","entire","live","G","brin","High","FS","Seeded","y",5016,"exotic",1115,97,1018,20
"91","1has1",2013,"Wood","entire","live","L","wood","High","FS","Seeded","n",5016,NA,76,73,3,0
"92","1has1",2013,"Muhlenbergia montana","entire","live","G","mumo","High","FS","Seeded","y",5016,"native",153,31,122,2
"93","1has1",2013,"Cirsium neomexicanum","entire","live","F","cine","High","FS","Seeded","y",5016,"native",245,9,236,5
"94","1has1",2013,"Quercus gambellii","entire","live","S","quga","High","FS","Seeded","y",5016,"native",410,8,402,8
"95","1has1",2013,"Unknown plant","entire","dead","F","unkn","High","FS","Seeded","y",5016,NA,5,5,0,0
"96","1has1",2013,"Geranium caespitosum","entire","live","F","geca","High","FS","Seeded","y",5016,"native",100,0,100,2
"97","1has1",2013,"Robinia neomexicana","entire","live","S","rone","High","FS","Seeded","y",5016,"native",55,0,55,1
"98","1has1",2013,"Cirsium neomexicanum","entire","dead","F","cine","High","FS","Seeded","y",5016,"native",46,0,46,1
"99","1has1",2013,"Ipomopsis aggregata","entire","live","F","ipag","High","FS","Seeded","y",5016,"native",56,0,56,1
"100","1has1",2013,"Oenothera hookeri","entire","live","F","oeho","High","FS","Seeded","y",5016,"native",9,0,9,0
"101","1has1",2013,"Euphorbia serpyllifolia","entire","live","F","euse","High","FS","Seeded","y",5016,"native",15,0,15,0
"102","1has1",2013,"Ceanothus fendleri","entire","live","U","cefe","High","FS","Seeded","y",5016,"native",416,0,416,8
"103","1has1",2013,"Amauriopsis dissecta","entire","live","F","amdi","High","FS","Seeded","y",5016,"native",33,0,33,1
"104","1has1",2013,"Cheilanthes feei","entire","live","0","chfe","High","FS","Seeded","y",5016,"native",6,0,6,0
"105","1has1",2013,"Artemisia ludoviciana","entire","live","F","arlu","High","FS","Seeded","y",5016,"native",4,0,4,0
"106","1has1",2013,"Oenothera hookeri","entire","dead","F","oeho","High","FS","Seeded","y",5016,"native",7,0,7,0
"107","1has1",2013,"Achillea millefolium","entire","live","F","acmi","High","FS","Seeded","y",5016,"native",17,0,17,0
"108","1has1",2016,"Pumice soil","entire","live","B","pumc","High","FS","Seeded","n",5009,NA,2212,2212,0,0
"109","1has1",2016,"Bare","entire","live","F","bare","High","FS","Seeded","n",5009,NA,1288,1288,0,0
"110","1has1",2016,"Bromus inermis","entire","live","G","brin","High","FS","Seeded","y",5009,"exotic",2918,634,2284,46
"111","1has1",2016,"Litter","entire","live","L","litt","High","FS","Seeded","n",5009,NA,748,631,117,2
"112","1has1",2016,"Unidentified grass","entire","live","G","gras","High","FS","Seeded","y",5009,NA,461,95,366,7
"113","1has1",2016,"Wood","entire","live","L","wood","High","FS","Seeded","n",5009,NA,28,28,0,0
"114","1has1",2016,"Pinus ponderosa","entire","dead","T","pipo","High","FS","Seeded","y",5009,"native",25,25,0,0
"115","1has1",2016,"Bromus inermis","entire","live","L","brin","High","FS","Seeded","y",5009,"exotic",23,23,0,0
"116","1has1",2016,"Unidentified forb","entire","dead","F","forb","High","FS","Seeded","y",5009,NA,61,22,39,1
"117","1has1",2016,"Unidentified subshrub","entire","live","U","subs","High","FS","Seeded","y",5009,NA,383,14,369,7
"118","1has1",2016,"Unidentified forb","entire","live","F","forb","High","FS","Seeded","y",5009,NA,497,12,485,10
"119","1has1",2016,"Unknown plant","entire","dead","F","unkn","High","FS","Seeded","y",5009,NA,10,10,0,0
"120","1has1",2016,"Robinia neomexicana","entire","live","S","rone","High","FS","Seeded","y",5009,"native",172,7,165,3
"121","1has1",2016,"Moss","entire","live","C","moss","High","FS","Seeded","n",5009,NA,4,4,0,0
"122","1has1",2016,"Verbascum thapsus","entire","live","F","veth","High","FS","Seeded","y",5009,"exotic",126,4,122,2
"123","1has1",2016,"Quercus gambellii","entire","live","S","quga","High","FS","Seeded","y",5009,"native",413,0,413,8
"124","1has1",2016,"Lactuca serriola","entire","live","F","lase","High","FS","Seeded","y",5009,"exotic",4,0,4,0
"125","1has1",2019,"Pumice soil","entire","live","B","pumc","High","FS","Seeded","n",5010,NA,3050,3050,0,0
"126","1has1",2019,"Litter","entire","live","L","litt","High","FS","Seeded","n",5010,NA,1301,1173,128,3
"127","1has1",2019,"Bare","entire","live","F","bare","High","FS","Seeded","n",5010,NA,299,299,0,0
"128","1has1",2019,"Bromus inermis","entire","live","G","brin","High","FS","Seeded","y",5010,"exotic",1652,257,1395,28
"129","1has1",2019,"Muhlenbergia montana","entire","live","G","mumo","High","FS","Seeded","y",5010,"native",587,77,510,10
"130","1has1",2019,"Amauriopsis dissecta","entire","live","F","amdi","High","FS","Seeded","y",5010,"native",266,43,223,4
"131","1has1",2019,"Wood","entire","live","L","wood","High","FS","Seeded","n",5010,NA,50,32,18,0
"132","1has1",2019,"Ceanothus fendleri","entire","live","U","cefe","High","FS","Seeded","y",5010,"native",873,30,843,17
"133","1has1",2019,"Unidentified grass","entire","live","G","gras","High","FS","Seeded","y",5010,NA,81,15,66,1
"134","1has1",2019,"Bouteloua curtipendula","entire","live","G","bocu","High","FS","Seeded","y",5010,"native",49,11,38,1
"135","1has1",2019,"Moss","entire","live","C","moss","High","FS","Seeded","n",5010,NA,7,7,0,0
"136","1has1",2019,"Ipomopsis aggregata","entire","live","F","ipag","High","FS","Seeded","y",5010,"native",28,5,23,0
"137","1has1",2019,"Artemisia ludoviciana","entire","live","F","arlu","High","FS","Seeded","y",5010,"native",38,5,33,1
"138","1has1",2019,"Quercus gambellii","entire","live","S","quga","High","FS","Seeded","y",5010,"native",464,2,462,9
"139","1has1",2019,"Unidentified forb","entire","live","F","forb","High","FS","Seeded","y",5010,NA,2,2,0,0
"140","1has1",2019,"Cirsium neomexicanum","entire","live","F","cine","High","FS","Seeded","y",5010,"native",15,1,14,0
"141","1has1",2019,"Packera multilobata","entire","live","F","pamu","High","FS","Seeded","y",5010,"native",4,1,3,0
"142","1has1",2019,"Robinia neomexicana","entire","live","S","rone","High","FS","Seeded","y",5010,"native",128,0,128,3
"143","1has1",2019,"Viguiera multiflora","entire","live","F","vimu","High","FS","Seeded","y",5010,"native",7,0,7,0
"144","1has1",2019,"Erigeron sp.","entire","live","F","erxx","High","FS","Seeded","y",5010,"native",14,0,14,0
"145","1has1",2019,"Blepharoneuron tricholepis","entire","live","L","bltr","High","FS","Seeded","y",5010,"native",21,0,21,0
"146","1has1",2019,"Ipomopsis aggregata","entire","dead","F","ipag","High","FS","Seeded","y",5010,"native",7,0,7,0
"147","1has1",2019,"Geranium caespitosum","entire","live","F","geca","High","FS","Seeded","y",5010,"native",16,0,16,0
"148","1has1",2019,"Oenothera hookeri","entire","live","F","oeho","High","FS","Seeded","y",5010,"native",2,0,2,0
"149","1has1",2019,"Achillea millefolium","entire","live","F","acmi","High","FS","Seeded","y",5010,"native",8,0,8,0
"150","1has2",1997,"Bare","entire","live","B","bare","High","FS","Unseeded","n",5000,NA,2530,2530,0,0
"151","1has2",1997,"Rock","entire","live","B","rock","High","FS","Unseeded","n",5000,NA,1408,1408,0,0
"152","1has2",1997,"Litter","entire","live","L","litt","High","FS","Unseeded","n",5000,NA,605,605,0,0
"153","1has2",1997,"Moss","entire","live","C","moss","High","FS","Unseeded","n",5000,NA,222,222,0,0
"154","1has2",1997,"Carex sp.","entire","live","G","care","High","FS","Unseeded","y",5000,"native",1441,77,1364,27
"155","1has2",1997,"Wood","entire","live","L","wood","High","FS","Unseeded","n",5000,NA,138,57,81,2
"156","1has2",1997,"Unidentified tree","entire","live","T","tree","High","FS","Unseeded","y",5000,NA,31,31,0,0
"157","1has2",1997,"Bromus carinatus","entire","live","G","brca2","High","FS","Unseeded","y",5000,"native",1671,20,1651,33
"158","1has2",1997,"Quercus gambellii","entire","live","S","quga","High","FS","Unseeded","y",5000,"native",1181,15,1166,23
"159","1has2",1997,"Animal feces","entire","live","L","shit","High","FS","Unseeded","n",5000,NA,12,12,0,0
"160","1has2",1997,"Elymus trachycaulum","entire","live","G","eltr","High","FS","Unseeded","y",5000,"native",777,10,767,15
"161","1has2",1997,"Root","entire","dead","T","root","High","FS","Unseeded","n",5000,NA,9,9,0,0
"162","1has2",1997,"Lolium multiflorum","entire","live","G","lomu","High","FS","Unseeded","y",5000,"exotic",78,4,74,1
"163","1has2",1997,"Bromus inermis","entire","live","G","brin","High","FS","Unseeded","y",5000,"exotic",89,0,89,2
"164","1has2",1997,"Unidentified grass","entire","live","G","gras","High","FS","Unseeded","y",5000,NA,23,0,23,0
"165","1has2",1997,"Chenopodium fremontii","entire","live","F","chfr","High","FS","Unseeded","y",5000,"native",617,0,617,12
"166","1has2",1997,"Corydalis aurea","entire","live","F","coau","High","FS","Unseeded","y",5000,"native",151,0,151,3
"167","1has2",1997,"Elymus elymoides","entire","live","G","elel","High","FS","Unseeded","y",5000,"native",1,0,1,0
"168","1has2",1997,"Robinia neomexicana","entire","live","S","rone","High","FS","Unseeded","y",5000,"native",17,0,17,0
"169","1has2",1997,"Agropyron trachycaulum","entire","live","G","agtr","High","FS","Unseeded","y",5000,"native",149,0,149,3
"170","1has2",1997,"Geranium caespitosum","entire","live","F","geca","High","FS","Unseeded","y",5000,"native",49,0,49,1
"171","1has2",1997,"Chenopodium fremontii","entire","dead","F","chfr","High","FS","Unseeded","y",5000,"native",22,0,22,0
"172","1has2",1997,"Mushroom","entire","live","M","mush","High","FS","Unseeded","n",5000,NA,3,0,3,0
"173","1has2",1997,"Lolium perenne","entire","live","G","lope","High","FS","Unseeded","y",5000,"exotic",3,0,3,0
"174","1has2",2008,"Litter","entire","live","L","litt","High","FS","Unseeded","n",5000,NA,4037,4037,0,0
"175","1has2",2008,"Bromus inermis","entire","live","G","brin","High","FS","Unseeded","y",5000,"exotic",3057,523,2534,51
"176","1has2",2008,"Bare","entire","live","B","bare","High","FS","Unseeded","n",5000,NA,249,249,0,0
"177","1has2",2008,"Rock","entire","live","B","rock","High","FS","Unseeded","n",5000,NA,171,111,60,1
"178","1has2",2008,"Wood","entire","live","L","wood","High","FS","Unseeded","n",5000,NA,621,68,553,11
"179","1has2",2008,"Moss","entire","live","C","moss","High","FS","Unseeded","n",5000,NA,10,10,0,0
"180","1has2",2008,"Robinia neomexicana","entire","live","S","rone","High","FS","Unseeded","y",5000,"native",1166,2,1164,23
"181","1has2",2008,"Quercus gambellii","entire","live","S","quga","High","FS","Unseeded","y",5000,"native",2425,0,2425,49
"182","1has2",2008,"Unidentified grass","entire","live","G","gras","High","FS","Unseeded","y",5000,NA,632,0,632,13
"183","1has2",2008,"Muhlenbergia montana","entire","live","G","mumo","High","FS","Unseeded","y",5000,"native",82,0,82,2
"184","1has2",2008,"Schizachyrium scoparius","entire","live","G","scsc","High","FS","Unseeded","y",5000,"native",19,0,19,0
"185","1has2",2008,"Bouteloua curtipendula","entire","live","G","bocu","High","FS","Unseeded","y",5000,"native",28,0,28,1
"186","1has2",2008,"Carex sp.","entire","live","G","care","High","FS","Unseeded","y",5000,"native",72,0,72,1
"187","1has2",2008,"Achillea millefolium","entire","live","F","acla","High","FS","Unseeded","y",5000,"native",25,0,25,1
"188","1has2",2013,"Bare","entire","live","F","bare","High","FS","Unseeded","n",5005,NA,2400,2400,0,0
"189","1has2",2013,"Rock","entire","live","B","rock","High","FS","Unseeded","n",5005,NA,1737,1655,82,2
"190","1has2",2013,"Litter","entire","live","L","litt","High","FS","Unseeded","n",5005,NA,753,753,0,0
"191","1has2",2013,"Bromus inermis","entire","live","G","brin","High","FS","Unseeded","y",5005,"exotic",1190,135,1055,21
"192","1has2",2013,"Quercus gambellii","entire","live","S","quga","High","FS","Unseeded","y",5005,"native",1284,39,1245,25
"193","1has2",2013,"Wood","entire","live","L","wood","High","FS","Unseeded","n",5005,NA,174,23,151,3
"194","1has2",2013,"Robinia neomexicana","entire","live","S","rone","High","FS","Unseeded","y",5005,"native",747,0,747,15
"195","1has2",2013,"Rosa woodsii","entire","live","T","rowo","High","FS","Unseeded","y",5005,"native",2,0,2,0
"196","1has2",2013,"Chenopodium fremontii","entire","live","F","chfr","High","FS","Unseeded","y",5005,"native",7,0,7,0
"197","1has2",2013,"Quercus gambellii","entire","dead","S","quga","High","FS","Unseeded","y",5005,"native",44,0,44,1
"198","1has2",2013,"Carex sp.","entire","live","G","care","High","FS","Unseeded","y",5005,"native",5,0,5,0
"199","1has2",2013,"Agropyron trachycaulum","entire","live","G","agtr","High","FS","Unseeded","y",5005,"native",55,0,55,1
"200","1has2",2016,"Litter","entire","live","L","litt","High","FS","Unseeded","n",5002,NA,1549,1549,0,0
"201","1has2",2016,"Rock","entire","live","B","rock","High","FS","Unseeded","n",5002,NA,1720,1477,243,5
"202","1has2",2016,"Bromus inermis","entire","live","G","brin","High","FS","Unseeded","y",5002,"exotic",3880,1229,2651,53
"203","1has2",2016,"Bare","entire","live","F","bare","High","FS","Unseeded","n",5002,NA,665,665,0,0
"204","1has2",2016,"Robinia neomexicana","entire","live","S","rone","High","FS","Unseeded","y",5002,"native",935,34,901,18
"205","1has2",2016,"Unidentified grass","entire","live","G","gras","High","FS","Unseeded","y",5002,NA,200,22,178,4
"206","1has2",2016,"Quercus gambellii","entire","live","S","quga","High","FS","Unseeded","y",5002,"native",1679,17,1662,33
"207","1has2",2016,"Moss","entire","live","C","moss","High","FS","Unseeded","n",5002,NA,6,6,0,0
"208","1has2",2016,"Wood","entire","live","L","wood","High","FS","Unseeded","n",5002,NA,96,3,93,2
"209","1has2",2016,"Unidentified forb","entire","live","F","forb","High","FS","Unseeded","y",5002,NA,11,0,11,0
"210","1has2",2019,"Litter","entire","live","L","litt","High","FS","Unseeded","n",5000,NA,1962,1962,0,0
"211","1has2",2019,"Rock","entire","live","B","rock","High","FS","Unseeded","n",5000,NA,1645,1645,0,0
"212","1has2",2019,"Bromus inermis","entire","live","G","brin","High","FS","Unseeded","y",5000,"exotic",3951,1028,2923,58
"213","1has2",2019,"Bare","entire","live","F","bare","High","FS","Unseeded","n",5000,NA,217,217,0,0
"214","1has2",2019,"Quercus gambellii","entire","live","S","quga","High","FS","Unseeded","y",5000,"native",1968,60,1908,38
"215","1has2",2019,"Wood","entire","live","L","wood","High","FS","Unseeded","n",5000,NA,77,57,20,0
"216","1has2",2019,"Robinia neomexicana","entire","live","S","rone","High","FS","Unseeded","y",5000,"native",1006,14,992,20
"217","1has2",2019,"Agropyron trachycaulum","entire","live","G","agtr","High","FS","Unseeded","y",5000,"native",87,11,76,2
"218","1has2",2019,"Moss","entire","live","C","moss","High","FS","Unseeded","n",5000,NA,3,3,0,0
"219","1has2",2019,"Carex sp.","entire","live","G","care","High","FS","Unseeded","y",5000,"native",161,2,159,3
"220","1has2",2019,"Artemisia ludoviciana","entire","live","F","arlu","High","FS","Unseeded","y",5000,"native",9,1,8,0
"221","1has2",2019,"Robinia neomexicana","entire","dead","S","rone","High","FS","Unseeded","y",5000,"native",31,0,31,1
"222","1has2",2019,"Unidentified forb","entire","live","F","forb","High","FS","Unseeded","y",5000,NA,3,0,3,0
"223","1has2",2019,"Rosa woodsii","entire","live","T","rowo","High","FS","Unseeded","y",5000,"native",9,0,9,0
"224","1has2",2019,"Unidentified grass","entire","live","G","gras","High","FS","Unseeded","y",5000,NA,4,0,4,0
"225","1hbs1",1997,"Bare","entire","live","B","bare","Mod","FS","Unseeded","n",5000,NA,2439,2439,0,0
"226","1hbs1",1997,"Litter","entire","live","L","litt","Mod","FS","Unseeded","n",5000,NA,1992,1992,0,0
"227","1hbs1",1997,"Moss","entire","live","C","moss","Mod","FS","Unseeded","n",5000,NA,291,291,0,0
"228","1hbs1",1997,"Bromus carinatus","entire","live","G","brca2","Mod","FS","Unseeded","y",5000,"native",2884,183,2701,54
"229","1hbs1",1997,"Carex sp.","entire","live","G","care","Mod","FS","Unseeded","y",5000,"native",242,54,188,4
"230","1hbs1",1997,"Wood","entire","live","L","wood","Mod","FS","Unseeded","n",5000,NA,22,22,0,0
"231","1hbs1",1997,"Pinus ponderosa","entire","dead","T","pipo","Mod","FS","Unseeded","y",5000,"native",7,7,0,0
"232","1hbs1",1997,"Lolium multiflorum","entire","live","G","lomu","Mod","FS","Unseeded","y",5000,"exotic",39,7,32,1
"233","1hbs1",1997,"Lolium perenne","entire","live","G","lope","Mod","FS","Unseeded","y",5000,"exotic",49,2,47,1
"234","1hbs1",1997,"Robinia neomexicana","entire","live","S","rone","Mod","FS","Unseeded","y",5000,"native",54,1,53,1
"235","1hbs1",1997,"Unidentified grass","entire","live","G","gras","Mod","FS","Unseeded","y",5000,NA,41,1,40,1
"236","1hbs1",1997,"Rock","entire","live","B","rock","Mod","FS","Unseeded","n",5000,NA,1,1,0,0
"237","1hbs1",1997,"Mertensia lanceolata","entire","live","F","mela2","Mod","FS","Unseeded","y",5000,"native",20,0,20,0
"238","1hbs1",1997,"Elymus trachycaulum","entire","live","G","eltr","Mod","FS","Unseeded","y",5000,"native",339,0,339,7
"239","1hbs1",1997,"Bromus tectorum","entire","live","G","brte","Mod","FS","Unseeded","y",5000,"exotic",23,0,23,0
"240","1hbs1",1997,"Quercus gambellii","entire","live","S","quga","Mod","FS","Unseeded","y",5000,"native",68,0,68,1
"241","1hbs1",1997,"Bromus inermis","entire","live","G","brin","Mod","FS","Unseeded","y",5000,"exotic",13,0,13,0
"242","1hbs1",1997,"Corydalis aurea","entire","live","F","coau","Mod","FS","Unseeded","y",5000,"native",86,0,86,2
